ID,Name,Latitude,Longitude
360,n/a,34.6482140,135.5186840
361,n/a,34.7995093,135.5840459
362,n/a,34.7993380,135.5841170
363,アルファ パーク I,34.6853350,135.8082940
364,n/a,34.8197780,135.7001433
365,パークステーション24,34.7309570,135.5927510
366,Poo天神橋,34.7076930,135.5121700
367,龍安寺miniパーキング,35.0306230,135.7204920
368,タイムズ,34.6650220,135.5283380
369,n/a,34.6586870,135.5336340
370,さわやかパーキング,34.6649680,135.5287400
371,三井のリパーク,34.6639910,135.5283990
372,TOMOパーキングサービス,34.6549600,135.5340050
373,ゼロパーク,34.6573970,135.5331910
374,n/a,34.6581010,135.5332150
375,n/a,34.7441930,135.4985050
376,n/a,34.7003290,135.7499520
377,タイムス,34.7009831,135.5180156
378,エコロパーク,34.6805150,135.5478580
379,タイムズ大阪厚生信用金庫深江支店,34.6788570,135.5573330
380,n/a,34.7094870,135.5390250
381,三井のリパーク,34.7097810,135.5394240
382,三井のリパーク,34.7138300,135.5426690
383,タイムズ,34.7008030,135.5479990
384,タイムズ,34.7020260,135.5595310
385,タイムズ,34.6761620,135.4831300
386,タイムズ,34.5973660,135.5129130
387,リータ屋上駐車場,34.7797011,135.4136499
388,タイムズ鴫野東第3,34.6887270,135.5492210
389,三井のリパーク,34.8159237,135.3734759
390,BePark,34.6638980,135.5900993
391,中西 モーター プール,34.6961230,135.6430060
392,HOTEL 1-2-3 第一 駐車場,34.6495990,135.5230270
393,Times,34.6920104,135.5405991
394,フルーツパーク,34.6908551,135.5457197
395,三井のリパーク 鴫野西4丁目 第2,34.6922923,135.5397793
396,n/a,34.6811170,135.5432472
397,ジャストインパーク 東中浜,34.6856127,135.5464070
398,エコロパーク鴫野東第2,34.6930081,135.5478254
399,三井のリパーク,34.6952845,135.5518813
400,24時間パーキング 今福西1,34.6987599,135.5481182
401,ランドパーキング鴫野東2丁目,34.6920609,135.5476560
402,三井のリパーク鴫野東2丁目第2,34.6934061,135.5483849
403,タイムズ野江第4,34.7072139,135.5457637
404,n/a,34.7596610,135.7898540
405,OnePark 上汐5丁目,34.6606455,135.5154875
406,エコロパーク 生玉前町第1,34.6627790,135.5152900
407,カンソーパーク,34.8190138,135.6563825
408,ひまわり パーキング,34.6959440,135.4857010
409,Times,34.6881210,135.4741680
410,キタガワ 月極 駐車場,34.8211430,135.7713210
411,Times,34.6099500,135.5468070
412,月極 駐車場,34.6245570,135.5226810
413,西村 モーター プール,34.6249850,135.5225010
414,n/a,34.7737286,135.3267501
415,n/a,34.7088000,135.5441040
416,白石 駐車場,34.7028130,135.5140950
417,n/a,34.7046881,135.5140190
418,n/a,34.6721008,135.7982940
419,n/a,35.0136392,135.6935687
420,パークNET,34.6663990,135.5287280
421,合同庁舎駐車場,34.6818676,135.5195613
422,学園前 東 モーター プール,34.6978240,135.7523870
423,TOYO CAR MAX,34.6986290,135.7520220
424,TOYO CAR MAX,34.6983310,135.7520470
425,n/a,34.9108202,135.6994960
426,n/a,34.9826980,135.6473600
427,n/a,34.9826700,135.6476600
428,n/a,34.9831170,135.6456720
429,n/a,34.9830590,135.6460000
430,n/a,34.9824190,135.6488430
431,D Pit,34.6882760,135.4775260
432,Times,34.7429780,135.6009210
433,n/a,34.7397358,135.4185895
434,n/a,34.8195812,135.6534423
435,n/a,34.7093170,135.4922940
436,Times,34.7054870,135.4888720
437,n/a,35.0108355,135.7363605
438,n/a,35.0108605,135.7381554
439,n/a,34.6747590,135.4972287
440,風良都ぱーく77,35.0276092,135.7511552
441,風良都ぱーく77,35.0275502,135.7515468
442,タイムズ,34.6605730,135.5148710
443,n/a,34.6648480,135.5156060
444,n/a,34.6571820,135.5151960
445,三井のリパーク,34.6576160,135.5164980
446,n/a,34.6653470,135.5159780
447,セレパーク,34.6636360,135.5130710
448,ワンパーク,34.6498310,135.5127880
449,タイムズ,34.6592260,135.5134010
450,ワンパーク,34.6640600,135.5133390
451,タイムズ,34.6533950,135.5139220
452,ワンパーク,34.6603990,135.5139160
453,タイムズ,34.7000380,135.5314160
454,n/a,34.8082702,135.4939334
455,n/a,34.7072544,135.5042650
456,n/a,34.8299229,135.5164554
457,パラカ久世殿城町第1,34.9573788,135.7174181
458,n/a,34.8533233,135.6234603
459,n/a,34.7762866,135.5327440
460,n/a,34.9513933,135.6979672
461,n/a,34.9515533,135.6980254
462,n/a,34.7067763,135.5029061
463,n/a,34.7642282,135.5116897
464,スパディオ（Ｐ無）,34.6679011,135.4913850
465,ピー・ゾーン南塚口町第２駐車場,34.7528898,135.4206931
466,キーパーズ南塚口町３丁目 第３,34.7527420,135.4207907
467,リパーク南塚口町３丁目 第２,34.7527445,135.4206413
468,タイムズ東塚口町第２,34.7522260,135.4217607
469,タイムパーキング南塚口町５丁目第３,34.7473889,135.4169623
470,n/a,34.5851950,135.6191851
471,和州 傍示 モータープール,34.6851870,135.7087640
472,n/a,34.5941241,135.4993873
473,ハイツ大道専用ガレージ,34.6482330,135.5205640
474,河合モータープール,34.6484130,135.5214000
475,森内モータープール,34.6857040,135.7123190
476,Times,34.7079549,135.5229805
477,n/a,34.7288214,135.2746649
478,河合モータープール,34.6474710,135.5215670
479,パークンパーク大今里,34.6687890,135.5417970
480,KTF,34.6688190,135.5681330
481,n/a,34.7968326,135.5524375
482,n/a,34.7040568,135.4963923
483,デュー阪急山田 用,34.8041673,135.5145049
484,n/a,34.8114424,135.5168069
485,n/a,34.7589461,135.5159455
486,24 Hour Parking,34.8189902,135.6538975
487,n/a,34.6773030,135.8006716
488,n/a,34.6771894,135.7999286
489,n/a,34.6778759,135.8001378
490,n/a,34.6780855,135.7998575
